Username,Congressperson,Chamber,Party,State
SenatorBaldwin,Tammy Baldwin,Senate,D,WI
SenJohnBarrasso,John Barrasso,Senate,R,WY
SenatorBennet,Michael Bennet,Senate,D,CO
MarshaBlackburn,Marsha Blackburn,Senate,R,TN
SenBlumenthal,Richard Blumenthal,Senate,D,CT
RoyBlunt,Roy Blunt,Senate,R,MO
CoryBooker,Cory Booker,Senate,D,NJ
JohnBoozman,John Boozman,Senate,R,AR
SenatorBraun,Michael Braun,Senate,R,IN
SenSherrodBrown,Sherrod Brown,Senate,D,OH
SenatorCantwell,Maria Cantwell,Senate,D,WA
SenCapito,Shelley Moore Capito,Senate,R,WV
SenatorCardin,Ben Cardin,Senate,D,MD
SenatorCarper,Tom Carper,Senate,D,DE
SenBobCasey,Bob Casey,Senate,D,PA
SenBillCassidy,Bill Cassidy,Senate,R,LA
ChrisCoons,Chris Coons,Senate,D,DE
JohnCornyn,John Cornyn,Senate,R,TX
SenCortezMasto,Catherine Cortez Masto,Senate,D,NV
SenTomCotton,Tom Cotton,Senate,R,AR
SenKevinCramer,Kevin Cramer,Senate,R,ND
MikeCrapo,Mike Crapo,Senate,R,ID
SenTedCruz,Ted Cruz,Senate,R,TX
SteveDaines,Steve Daines,Senate,R,MT
SenDuckworth,Tammy Duckworth,Senate,D,IL
SenatorDurbin,Dick Durbin,Senate,D,IL
SenJoniErnst,Joni Ernst,Senate,R,IA
SenFeinstein,Dianne Feinstein,Senate,D,CA
SenatorFischer,Deb FIscher,Senate,D,NE
SenGillibrand,Kirsten Gillibrand,Senate,D,NY
LindseyGrahamSC,Lindsey Graham,Senate,R,SC
ChuckGrassley,Chuck Grassley,Senate,R,IA
SenatorHagerty,Bill Hagerty,Senate,R,TN
SenatorHassan,Maggie Hassan,Senate,D,NH
HawleyMO,Josh Hawley,Senate,R,MO
MartinHeinrich,Martin Heinrich,Senate,D,NM
SenatorHick,John Hickenlooper,Senate,D,CO
maziehirono,Mazie Hirono,Senate,D,HI
SenJohnHoeven,John Hoeven,Senate,R,ND
SenHydeSmith,Hyde Smith,Senate,R,MS
JimInhofe,Jim Inhofe,Senate,R,OK
SenRonJohnson,Ron Johnson,Senate,R,WI
timkaine,Tim Kaine,Senate,D,VA
SenMarkKelly,Mark Kelly,Senate,D,AZ
SenJohnKennedy,John Kennedy,Senate,R,LA
SenAngusKing,Angus King,Senate,I,ME
SenAmyKlobuchar,Amy Klobuchar,Senate,D,MN
SenatorLankford,James Lankford,Senate,R,OK
SenatorLeahy,Patrick Leahy,Senate,D,VT
SenMikeLee,Mike Lee,Senate,R,UT
SenatorLujan,Ben Ray Lujan,Senate,D,NM
SenLummis,Cynthia Lummis,Senate,R,WY
Sen_JoeManchin,Joe Manchin,Senate,D,WV
SenMarkey,Edward Markey,Senate,D,MA
SenatorMenendez,Robert Menendez,Senate,D,NJ
SenJeffMerkley,Jeff Merkley,Senate,D,OR
JerryMoran,Jerry Moran,Senate,R,KS
lisamurkowski,Lisa Murkowski,Senate,R,AK
ChrisMurphyCT,Chris Murphy,Senate,D,CT
PattyMurray,Patty Murray,Senate,D,WA
ossoff,John Ossoff,Senate,D,GA
SenAlexPadilla,Alex Padilla,Senate,D,CA
RandPaul,Rand Paul,Senate,R,KY
SenGaryPeters,Gary Peters,Senate,D,MI
senrobportman,Robert Portman,Senate,R,OH
SenJackReed,Jack Reed,Senate,D,RI
SenatorRisch,James Risch,Senate,R,ID
SenatorRomney,Mitt Romney,Senate,R,UT
SenJackyRosen,Jacky Rosen,Senate,D,NV
marcorubio,Marco Rubio,Senate,R,FL
SenSanders,Bernie Sanders,Senate,I,VT
SenSchumer,Chuck Schumer,Senate,D,NY
SenRickScott,Rick Scott,Senate,R,FL
SenatorTimScott,Tim Scott,Senate,R,SC
SenatorShaheen,Jeanne Shaheen,Senate,D,NH
SenatorSinema,Kyrsten Sinema,Senate,I,AZ
SenTinaSmith,Tina Smith,Senate,D,MN
SenStabenow,Debbie Stabenow,Senate,D,MI
SenDanSullivan,Dan Sullivan,Senate,R,AK
SenatorTester,Jon Tester,Senate,D,MT
SenJohnThune,John Thune,Senate,R,SD
SenThomTillis,Thom Tillis,Senate,R,NC
SenToomey,Pat Toomey,Senate,R,PA
SenTuberville,Tommy Tuberville,Senate,R,AL
ChrisVanHollen,Chris Van Hollen,Senate,D,MD
MarkWarner,Mark Warner,Senate,D,VA
SenatorWarnock,Raphael Warnock,Senate,D,GA
SenWarren,Elizabeth Warren,Senate,D,MA
SenWhitehouse,Sheldon Whitehouse,Senate,D,RI
SenatorWicker,Roger Wicker,Senate,R,MS
RonWyden,Ron Wyden,Senate,D,OR
SenToddYoung,Todd Young,Senate,R,IN
RepAdams,Alma Adams,House,D,NC
Robert_Aderholt,Robert Aderholt,House,R,AL
RepPeteAguilar,Pete Aguilar,House,D,CA
RepRickAllen,Rick Allen,House,R,GA
RepColinAllred,Colin Allred,House,D,TX
RepArmstrongND,Kelly Armstrong,House,R,ND
RepArrington,Jodey Arrington,House,R,TX
RepAuchincloss,Jake Auchincloss,House,D,MA
RepCindyAxne,Cynthia Axne,House,D,IA
RepBrianBabin,Brian Babin,House,R,TX
RepDonBacon,Don Bacon,House,R,NE
RepJimBaird,Jim Baird,House,R,IN
RepBalderson,Troy Balderson,House,R,OH
RepJimBanks,Jim Banks,House,R,IN
RepAndyBarr,Andy Barr,House,R,KY
RepBarragan,Nanette Barragan,House,D,CA
RepKarenBass,Karen Bass,House,D,CA
RepBeatty,Joyce Beatty,House,D,OH
RepBera,Ami Bera,House,D,CA
RepDonBeyer,Don Beyer,House,D,VA
RepBice,Stephanie Bice,House,R,OK
RepAndyBiggsAZ,Andy Biggs,House,R,AZ
RepGusBilirakis,Gus Bilirakis,House,R,FL
SanfordBishop,Sanford Bishop,House,D,GA
RepDanBishop,Dan Bishop,House,R,NC
RepLBR,Lisa Blunt Rochester,House,D,DE
RepBoebert,Lauren Boebert,House,R,CO
RepBonamici,Suzzane Bonamici,House,D,OR
RepBost,Michael Bost,House,R,IL
RepBourdeaux,Carolyn Bourdeaux,House,D,GA
RepBowman,Jamaal Bowman,House,D,NY
CongBoyle,Brendan Boyle,House,D,PA
RepKevinBrady,Kevin Brady,House,R,TX
RepMoBrooks,Mo Brooks,House,R,AL
RepAnthonyBrown,Anthony Brown,House,D,MD
RepShontelBrown,Shontel Brown,House,D,OH
RepBrownley,Julia Brownley,House,D,CA
VernBuchanan,Vern Buchanan,House,R,FL
RepKenBuck,Ken Buck,House,R,CO
RepLarryBucshon,Larry Bucshon,House,R,IN
RepTedBudd,Tedd Budd,House,R,NC
RepTimBurchett,Tim Burchett,House,R,TN
michaelcburgess,Michael Burgess,House,R,TX
RepCori,Cori Bush,House,D,MO
RepCheri,Cheri Bustos,House,D,IL
RepKatCammack,Kat Cammack,House,R,FL
RepCarbajal,Salud Carbajal,House,D,CA
RepCardenas,Tony Cardenas,House,D,CA
RepMikeCarey,Mikey Carey,House,R,OH
RepJerryCarl,Jerry L. Carl,House,R,AL
RepAndreCarson,Andre Carson,House,D,IN
RepBuddyCarter,Buddy Carter,House,R,GA
JudgeCarter,Judge Carter,House,R,TX
RepTroyCarter,Troy Carter,House,D,LA
RepEdCase,Ed Case,House,D,HI
RepCasten,Sean Casten,House,D,IL
USRepKCastor,Kathy Castor,House,D,FL
JoaquinCastrotx,Joaquin Castro,House,D,TX
RepCawthorn,David Cawthorn,House,R,NC
RepSteveChabot,Steve Chabot,House,R,OH
RepLizCheney,Liz Cheney,House,R,WY
CongresswomanSC,Sheila Cherfilus-McCormick,House,D,FL
RepJudyChu,Judy Chu,House,D,CA
RepKClark,Katherine Clark,House,D,MA
RepYvetteClarke,Yvette Clarke,House,D,NY
repcleaver,Emanuel Cleaver,House,D,MO
RepBenCline,Ben Cline,House,R,VA
RepCloudTX,Michael Cloud,House,R,TX
WhipClyburn,Jim Clyburn,House,D,SC
Rep_Clyde,Andrew Clyde,House,R,GA
RepCohen,Steve Cohen,House,D,TN
TomColeOK04,Tom Cole,House,R,OK
RepJamesComer,James Comer,House,R,KY
GerryConnolly,Gerry Connolly,House,D,VA
RepLouCorrea,Lou Correa,House,D,CA
RepJimCosta,Jim Costa,House,D,CA
RepJoeCourtney,Joe Courtney,House,D,CT
RepAngieCraig,Angie Craig,House,D,MN
RepCharlieCrist,Charlie Crist,House,D,FL
RepJasonCrow,Jason Crow,House,D,CO
RepJohnCurtis,John Curtis,House,R,UT
RepDavids,Sharice Davids,House,D,KS
WarrenDavidson,Warren Davidson,House,R,OH
RodneyDavis,Rodney Davis,House,R,IL
RepDean,Madeleine Dean,House,D,PA
RepPeterDeFazio,Peter DeFazio,House,D,OR
RepDianaDeGette,Diane DeGette,House,D,CO
rosadelauro,Rosa Delauro,House,D,CT
RepDelBene,Suzan DelBene,House,D,WA
repdelgado,Antonio Delgado,House,D,NY
RepValDemings,Val Demings,House,D,FL
RepDeSaulnier,Mark DeSaulnier,House,D,CA
RepTedDeutch,Ted Deutch,House,D,FL
MarioDB,Mario Diaz-Balart,House,R,FL
RepDebDingell,Deb Dingell,House,D,MI
RepLloydDoggett,Lloyd Doggett,House,D,TX
RepDonaldsPress,Byron Donalds,House,R,FL
USRepMikeDoyle,Mike Doyle,House,D,PA
RepJeffDuncan,Jeff Duncan,House,R,SC
DrNealDunnFL2,Neal Dunn,House,R,FL
RepTomEmmer,Tom Emmer,House,R,MN
RepEscobar,Veronica Escobar,House,D,TX
RepAnnaEshoo,Ann Eshoo,House,D,CA
RepEspaillat,Andriano Espaillat,House,D,NY
RepRonEstes,Ron Estes,House,R,KS
RepDwightEvans,Dwight Evans,House,D,PA
RepPatFallon,Pat Fallon,House,R,TX
RepFeenstra,Randy Feenstra,House,R,IA
RepDrewFerguson,Drew Ferguson,House,R,GA
RepFischbach,Michelle Fischbach,House,R,MN
RepBrianFitz,Brian Fitzpatrick,House,R,PA
RepChuck,Chuck Fleischmann,House,R,TN
RepFletcher,Lizzie Fletcher,House,D,TX
RepBillFoster,Bill Foster,House,D,IL
virginiafoxx,Virginia Foxx,House,R,NC
RepLoisFrankel,Lois Frankel,House,D,FL
RepFranklin,Scott Franklin,House,R,FL
RepRussFulcher,Russ Fulcher,House,R,ID
RepMattGaetz,Matt Gaetz,House,R,FL
RepGallagher,Mike Gallagher,House,R,WI
RepRubenGallego,Ruben Gallego,House,D,AZ
RepGaramendi,John Garamendi,House,D,CA
RepGarbarino,Andrew Garbarino,House,R,NY
RepChuyGarcia,Chuy Garcia,House,D,IL
RepMikeGarcia,Mike Garcia,House,R,CA
RepSylviaGarcia,Sylvia Garcia,House,D,TX
RepBobGibbs,Bob Gibbs,House,R,OH
RepCarlos,Carlos Gimenez,House,R,FL
replouiegohmert,Louie Gohmert,House,R,TX
RepGolden,Jared Golden,House,D,ME
RepJimmyGomez,Jimmy Gomez,House,D,CA
RepTonyGonzales,Tony Gonzales,House,R,TX
RepJenniffer,Jenniffer Gonzalez,House,R,PR
RepGonzalez,Vicente Gonzalez,House,D,TX
RepBobGood,Bob Good,House,R,VA
Lancegooden,Lance Gooden,House,R,TX
RepGosar,Paul Gosar,House,R,AZ
RepJoshG,Josh Gottheimer,House,D,NJ
RepKayGranger,Kay Granger,House,R,TX
RepGarretGraves,Garret Graves,House,R,LA
RepAlGreen,Al Green,House,D,TX
RepMarkGreen,Mark Green,House,R,TN
RepMTG,Marjorie Taylor Greene,House,R,GA
RepMGriffith,Morgan Griffith,House,R,VA
RepRaulGrijalva,Raul Grijalva,House,D,AZ
RepGrothman,Glenn Grothman,House,R,WI
RepMichaelGuest,Michael Guest,House,R,MS
RepGuthrie,Brett Guthrie,House,R,KY
RepJoshHarder,Josh Harder,House,D,CA
RepHarshbarger,Harsh Barger,House,R,TN
RepHartzler,Vicky Hartzler,House,R,MO
RepJahanaHayes,Jahana Hayes,House,D,CT
repkevinhern,Kevin Hern,House,R,OK
RepHerrell,Yvette Herrell,House,R,NM
CongressmanHice,Jody Hice,House,R,GA
RepBrianHiggins,Brian Higgins,House,D,NY
RepClayHiggins,Clay Higgins,House,R,LA
RepFrenchHill,French Hill,House,R,AR
jahimes,Jim Himes,House,D,CT
RepAshleyHinson,Ashley Hinson,House,R,IA
RepHorsford,Steven Horsford,House,D,NV
RepHoulahan,Chrissy Houlahan,House,D,PA
LeaderHoyer,Steny Hoyer,House,D,MD
RepRichHudson,Richard Hudson,House,R,NC
RepHuffman,Jared Huffman,House,D,CA
RepHuizenga,Bill Huizenga,House,R,MI
repdarrellissa,Darrell Issa,House,R,CA
JacksonLeeTX18,Jackson Lee,House,D,TX
RepRonnyJackson,Ronny Jackson,House,R,TX
RepJacobs,Chris Jacobs,House,R,NY
RepSaraJacobs,Sara Jacobs,House,D,CA
RepJayapal,Pramila Jayapal,House,D,WA
RepJeffries,Hakeem Jeffries,House,D,NY
RepBillJohnson,Bill Johnson,House,R,OH
RepDustyJohnson,Dusty Johnson,House,R,SD
RepEBJ,Eddie Bernice Johnson,House,D,TX
RepHankJohnson,Hank Johnson,House,D,GA
RepMikeJohnson,Mike Johnson,House,R,LA
RepMondaire,Mondaire Jones,House,D,NY
Jim_Jordan,Jim Jordan,House,R,OH
RepDaveJoyce,David Joyce,House,R,OH
RepJohnJoyce,John Joyce,House,R,PA
RepJohnKatko,John Katko,House,R,NY
USRepKeating,Bill Keating,House,D,MA
RepFredKeller,Fred Keller,House,R,PA
MikeKellyPA,Mike Kelly,House,R,PA
RepRobinKelly,Robin Kelly,House,D,IL
RepRoKhanna,Ro Khanna,House,D,CA
RepDanKildee,Dan Kildee,House,D,MI
RepDerekKilmer,Derek Kilmer,House,D,WA
RepAndyKimNJ,Andy Kim,House,D,NJ
RepYoungKim,Young Kim,House,R,CA
RepRonKind,Ron Kind,House,D,WI
RepKirkpatrick,Ann Kirkpatrick,House,D,AZ
CongressmanRaja,Raja Krishnamoorthi,House,D,IL
RepAnnieKuster,Annie Kuster,House,D,NH
RepDavidKustoff,David Kustoff,House,R,TN
RepLaHood,Darin LaHood,House,R,IL
RepLaMalfa,Doug LaMalfa,House,R,CA
JimLangevin,Jim Langevin,House,D,RI
RepRickLarsen,Rick Larsen,House,D,WA
RepJohnLarson,John Larson,House,D,CT
boblatta,Bob Latta,House,R,OH
RepLaTurner,Jake LaTurner,House,R,KS
RepLawrence,Brenda Lawrence,House,D,MI
RepAlLawsonJr,Al Lawson,House,D,FL
RepBarbaraLee,Barbara Lee,House,D,CA
RepSusieLee,Susie Lee,House,D,NV
RepTeresaLF,Teresa Leger Fernandez,House,D,NM
RepDLesko,Debbie Lesko,House,R,AZ
RepJuliaLetlow,Julia Letlow,House,R,LA
RepAndyLevin,Andy Levin,House,D,MI
RepMikeLevin,Mike Levin,House,D,CA
RepTedLieu,Ted Lieu,House,D,CA
USRepLong,Billy Long,House,R,MO
RepLoudermilk,Barry Loudermilk,House,R,GA
RepLowenthal,Alan Lowenthal,House,D,CA
RepFrankLucas,Frank Lucas,House,R,OK
RepBlaine,Blaine Luetkemeyer,House,R,MO
RepElaineLuria,Elaine Luria,House,D,VA
RepNancyMace,Nancy Mace,House,R,SC
RepMalinowski,Tom Malinowski,House,D,NJ
RepMalliotakis,Nicole Malliotakis,House,R,NY
RepMaloney,Carolyn Maloney,House,D,NY
RepSeanMaloney,Sean Maloney,House,D,NY
RepKManning,Kathy Manning,House,D,NC
RepThomasMassie,Thomas Massie,House,R,KY
RepBrianMast,Brian Mast,House,R,FL
DorisMatsui,Doris Matsui,House,D,CA
RepLucyMcBath,Lucy McBath,House,D,GA
GOPLeader,Kevin McCarthy,House,R,CA
RepMcCaul,Michael McCaul,House,R,TX
RepLisaMcClain,Lisa McClain,House,R,MI
BettyMcCollum04,Betty McCollum,House,D,MN
RepMcEachin,Donald McEachin,House,D,VA
RepMcGovern,Jim McGovern,House,D,MA
PatrickMcHenry,Patrick McHenry,House,R,NC
RepMcKinley,David McKinley,House,R,WV
RepGregoryMeeks,Gregory Meeks,House,D,NY
RepMeijer,James Meijer,House,R,MI
RepGraceMeng,Grace Meng,House,D,NY
RepMeuser,Dan Meuser,House,R,PA
RepKweisiMfume,Kweisi Mfume,House,D,MD
RepMMM,Marianette Miller-Meeks,House,R,IA
RepCarolMiller,Carol Miller,House,R,WV
RepMaryMiller,Mary Miller,House,R,IL
RepAlexMooney,Alex Mooney,House,R,WV
RepBarryMoore,Barry Moore,House,R,AL
RepBlakeMoore,Blake Moore,House,R,UT
RepGwenMoore,Gwen Moore,House,D,WI
RepJoeMorelle,Joe Morelle,House,D,NY
RepMullin,Markwayne Mullin,House,R,OK
RepGregMurphy,Greg Murphy,House,R,NC
RepStephMurphy,Stephanie Murphy,House,D,FL
RepJerryNadler,Jerry Nadler,House,D,NY
gracenapolitano,Grace Napolitano,House,D,CA
RepRichardNeal,Richard Neal,House,D,MA
RepJoeNeguse,Joe Neguse,House,D,CO
RepTroyNehls,Troy Nehls,House,R,TX
RepNewhouse,Dan Newhouse,House,R,WA
RepMarieNewman,Marie Newman,House,D,IL
DonaldNorcross,Donald Norcross,House,D,NJ
RepRalphNorman,Ralph Norman,House,R,SC
EleanorNorton,Eleanor Norton,House,D,DC
RepOHalleran,Tom O'Halleran,House,D,AZ
JayObernolte,Jay Obernolte,House,R,CA
Ilhan,Ilhan Omar,House,D,MN
RepBurgessOwens,Burgess Owens,House,R,UT
CongPalazzo,Steven Palazzo,House,R,MS
FrankPallone,Frank Pallone,House,D,NJ
USRepGaryPalmer,Gary Palmer,House,R,AL
RepJimmyPanetta,Jimmy Panetta,House,D,CA
RepChrisPappas,Chris Pappas,House,D,NH
BillPascrell,Bill Pascrell,House,D,NJ
RepDonaldPayne,Donald Payne,House,D,NJ
SpeakerPelosi,Nancy Pelosi,House,D,CA
RepPerlmutter,Ed Perlmutter,House,D,CO
RepScottPeters,Scott Peters,House,D,CA
RepPfluger,August Pfluger,House,R,TX
RepDeanPhillips,Dean Phillips,House,D,MN
chelliepingree,Chellie Pingree,House,D,ME
StaceyPlaskett,Stacey Plaskett,House,D,VI
repmarkpocan,Mark Pocan,House,D,WI
RepKatiePorter,Katie Porter,House,D,CA
RepPressley,Ayanna Pressley,House,D,MA
RepDavidEPrice,David Price,House,D,NC
RepMikeQuigley,Mike Quigley,House,D,IL
RepRaskin,Jamie Raskin,House,D,MD
GReschenthaler,Guy Reschenthaler,House,R,PA
RepKathleenRice,Kathleen Rice,House,D,NY
RepTomRice,Tom Rice,House,R,SC
cathymcmorris,Cath McMorris Rodgers,House,R,WA
RepMikeRogersAL,Mike Rogers,House,R,AL
RepJohnRose,John Rose,House,R,TN
RepRosendale,Matt Rosendale,House,R,MT
RepDeborahRoss,Deborah Ross,House,D,NC
RepDavidRouzer,David Rouzer,House,R,NC
RepChipRoy,Chip Roy,House,R,TX
RepRoybalAllard,Lucille Roybal-Allard,House,D,CA
RepRaulRuizMD,Raul Ruiz,House,D,CA
Call_Me_Dutch,Dutch Ruppersberger,House,D,MD
RepBobbyRush,Bobby Rush ,House,D,IL
RepTimRyan,Tim Ryan,House,D,OH
Kilili_Sablan,Gregoro Sablan,House,D,MP
RepMariaSalazar,Maria Salazar,House,R,FL
RepLindaSanchez,Linda Sanchez,House,D,CA
RepSarbanes,John Sarbanes,House,D,MD
SteveScalise,Steve Scalise,House,R,LA
RepMGS,Mary Gay Scanlon,House,D,PA
janschakowsky,Jan Schakowsky,House,D,IL
RepAdamSchiff,Adam Schiff,House,D,CA
RepSchneider,Brad Schneider,House,D,IL
RepSchrader,Kurt Schrader,House,D,OR
RepKimSchrier,Kim Schrier,House,D,WA
RepDavid,David Schweikert,House,D,AZ
AustinScottGA08,Austin Scott,House,R,GA
BobbyScott,Bobby Scott,House,D,VA
PeteSessions,Pete Sessions,House,R,TX
RepTerriSewell,Terri Sewell,House,D,AL
BradSherman,Brad Sherman,House,D,CA
RepSherrill,Mikie Sherrill,House,D,NJ
CongMikeSimpson,Mike Simpson,House,R,ID
RepSires,Albio Sires,House,D,NJ
RepSlotkin,Elissa Slotkin,House,D,MI
RepAdamSmith,Adam Smith,House,D,WA
RepAdrianSmith,Adrian Smith,House,R,NE
RepJasonSmith,Jason Smith,House,R,MO
RepSmucker,Lloyd Smucker,House,R,PA
RepDarrenSoto,Darren Soto,House,D,FL
RepSpanberger,Abigail Spanberger,House,D,VA
RepSpartz,Victoria Spartz,House,R,IN
RepSpeier,Jackie Speier,House,D,CA
Rep_Stansbury,Melanie Stansbury,House,D,NM
RepGregStanton,Greg Stanton,House,R,TX
RepPeteStauber,Pete Stauber,House,R,MN
RepSteel,Michelle Park Steel,House,R,CA
RepStefanik,Elise Stefanik,House,R,NY
RepBryanSteil,Bryan Steil,House,R,WI
RepGregSteube,Greg Steube,House,R,FL
RepHaleyStevens,Haley Stevens,House,D,MI
RepChrisStewart,Chris Stewart,House,R,UT
RepStricklandWA,Marilyn Strickland,House,D,WA
RepTomSuozzi,Tom Suozzi,House,D,NY
RepSwalwell,Eric Swalell,House,D,CA
RepMarkTakano,Mark Takano,House,D,CA
claudiatenney,Claudia Tenney,House,R,NY
BennieGThompson,Bennie Thompson,House,D,MS
RepThompson,Mike Thompson,House,D,CA
RepTiffany,Tom Tiffany,House,R,WI
RepTimmons,William Timmons,House,R,SC
repdinatitus,Dina Titus,House,D,NV
RepRashida,Rashida Tlaib,House,D,MI
RepPaulTonko,Paul Tanko,House,D,NY
NormaJTorres,Norma Torres,House,D,CA
RepRitchie,Ritchie Torres,House,D,NY
RepLoriTrahan,Lori Trahan,House,D,MA
RepDavidTrone,David Trone,House,D,MD
RepMikeTurner,Mike Turner,House,R,OH
RepUnderwood,Lauren Underwood,House,D,IL
RepDavidValadao,David Valadao,House,R,CA
RepBethVanDuyne,Beth Van Duyne,House,R,TX
RepJuanVargas,Juan Vargas,House,D,CA
RepVeasey,Marc Veasey,House,D,TX
NydiaVelazquez,Nydia Velazquez,House,D,NY
RepAnnWagner,Ann Wagner,House,R,MO
RepWalberg,Tim Walberg,House,R,MI
RepWalorski,Jackie Walorski,House,R,IN
michaelgwaltz,Michael Gwaltz,House,R,FL
RepDWStweets,Debbie Wasserman Schultz,House,D,FL
RepBonnie,Bonnie Watson Coleman,House,D,NJ
RepWebster,Daniel Webster,House,R,FL
PeterWelch,Peter Welch,House,D,VT
RepWesterman,Bruce Westerman,House,R,AR
RepWexton,Jennifer Wexton,House,D,VA
RepSusanWild,Susan Wild,House,D,PA
RepNikema,Nikema Williams,House,D,GA
RepRWilliams,Roger Williams,House,R,TX
RepWilson,Frederica Wilson,House,R,SC
RepJoeWilson,Joe Wilson,House,R,SC
RobWittman,Rob Wittman,House,R,VA
rep_stevewomack,Steve Womack,House,R,AR
RepJohnYarmuth,John Yarmuth,House,D,KY
RepLeeZeldin,Lee Zeldin,House,R,NY